risk_event_id,supplier_id,risk_type,event_date,likelihood_1_5,impact_1_5,risk_score_1_25,risk_status,recommended_action,human_review_required,data_source_note
RSK0001,SUP056,Geopolitical exposure,2025-08-26,4,4,16,Monitoring,Monitor country risk and validate alternative suppliers,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0002,SUP057,Financial instability,2025-08-17,3,1,3,Monitoring,Request external financial check and review payment terms,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0003,SUP038,Commodity price volatility,2025-01-20,1,1,1,Closed,Review contract indexation and alternative sourcing,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0004,SUP005,Commodity price volatility,2025-11-17,5,2,10,Monitoring,Review contract indexation and alternative sourcing,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0005,SUP023,Repeated delivery delay,2025-08-06,4,5,20,Open,Trigger ad-hoc review and delivery recovery plan,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0006,SUP009,Geopolitical exposure,2025-05-19,1,2,2,Monitoring,Monitor country risk and validate alternative suppliers,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0007,SUP033,Subcontracting traceability,2025-09-25,3,5,15,Open,Request production site evidence and subcontractor declaration,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0008,SUP010,Quality non-conformity,2025-06-10,3,5,15,Monitoring,Open corrective action and consider audit,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0009,SUP001,Certificate expiry,2025-09-27,1,2,2,Closed,Ask supplier to upload renewed certificate,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0010,SUP055,Geopolitical exposure,2025-04-07,4,3,12,Closed,Monitor country risk and validate alternative suppliers,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0011,SUP059,Commodity price volatility,2025-04-22,1,3,3,Monitoring,Review contract indexation and alternative sourcing,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0012,SUP045,Quality non-conformity,2025-10-19,5,3,15,Monitoring,Open corrective action and consider audit,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0013,SUP040,Single sourcing dependency,2025-03-04,4,3,12,Monitoring,Scout backup supplier and review safety stock,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0014,SUP057,Geopolitical exposure,2025-01-21,4,2,8,Open,Monitor country risk and validate alternative suppliers,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0015,SUP045,Commodity price volatility,2025-04-08,4,5,20,Monitoring,Review contract indexation and alternative sourcing,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0016,SUP048,Subcontracting traceability,2025-07-06,4,2,8,Open,Request production site evidence and subcontractor declaration,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0017,SUP024,Geopolitical exposure,2025-01-18,1,3,3,Open,Monitor country risk and validate alternative suppliers,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0018,SUP010,Single sourcing dependency,2025-11-19,4,2,8,Monitoring,Scout backup supplier and review safety stock,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0019,SUP003,Geopolitical exposure,2025-05-06,2,2,4,Open,Monitor country risk and validate alternative suppliers,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0020,SUP057,Single sourcing dependency,2025-09-08,2,3,6,Open,Scout backup supplier and review safety stock,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0021,SUP013,Geopolitical exposure,2025-02-01,2,3,6,Closed,Monitor country risk and validate alternative suppliers,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0022,SUP009,Repeated delivery delay,2025-04-10,1,3,3,Monitoring,Trigger ad-hoc review and delivery recovery plan,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0023,SUP016,Subcontracting traceability,2025-09-26,3,2,6,Closed,Request production site evidence and subcontractor declaration,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0024,SUP057,Repeated delivery delay,2025-03-05,1,1,1,Open,Trigger ad-hoc review and delivery recovery plan,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0025,SUP013,Repeated delivery delay,2025-10-14,3,3,9,Closed,Trigger ad-hoc review and delivery recovery plan,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0026,SUP016,Geopolitical exposure,2025-04-28,5,5,25,Monitoring,Monitor country risk and validate alternative suppliers,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0027,SUP051,Certificate expiry,2025-01-21,3,2,6,Monitoring,Ask supplier to upload renewed certificate,No,Synthetic risk events for Risk Scenario Analysis demo
RSK0028,SUP056,Certificate expiry,2025-08-07,5,5,25,Open,Ask supplier to upload renewed certificate,Yes,Synthetic risk events for Risk Scenario Analysis demo
RSK0029,SUP051,Quality non-conformity,2025-03-17,5,1,5,Monitoring,Open corrective action and consider audit,No,Synthetic risk events for Risk Scenario Analysis demo
