table_name,field_name,data_type,business_meaning,source_or_logic,is_simulated,allowed_values_or_example,sensitive_or_pii
suppliers,supplier_id,TEXT PK,Anonymized unique supplier identifier,Generated for demo,Yes,SUP001,No
suppliers,supplier_name_anonymized,TEXT,Masked supplier name for demo,Synthetic anonymization,Yes,Supplier_Yarns_IT_001,No
suppliers,sap_supplier_code,TEXT,SAP supplier code placeholder,Simulated based on Ratti SAP-code concept,Yes,RATTI-10001,No
suppliers,country,TEXT,Supplier commercial location,"Synthetic distribution, Italy-heavy to reflect Ratti context",Yes,"Italy, China, Germany",No
suppliers,category_level_1,TEXT,First-tier procurement macro-category,Ratti project category structure,No,"Goods, Services, Transportation, Fixed Assets, Manufacturing",No
suppliers,category_level_2,TEXT,Second-tier category,Ratti project category tree/Kraljic logic,No,"Yarns, Fabrics",No
suppliers,kraljic_quadrant,TEXT,Category segmentation,Derived from project Kraljic table,No,Strategic/Bottleneck/Leverage/Non-Critical,No
suppliers,monitoring_frequency,TEXT,Review frequency,Derived from category rules,No,Quarterly/Semi-annual/Annual,No
suppliers,qualification_status,TEXT,Supplier lifecycle status,Synthetic but aligned with target statuses,Partly,"Qualified, Qualified with Reserve, Risky, Not Qualified, Blacklisted",No
suppliers,annual_spend_eur,INTEGER,Estimated annual supplier spend,Synthetic,Yes,,No
suppliers,supply_risk_score,REAL,"Composite risk score, higher is worse",Synthetic weighted risk,Yes,0-100,No
suppliers,next_review_date,DATE,Next scheduled review date,Derived from last review + frequency,Yes,YYYY-MM-DD,No
category_rules,category_level_1,TEXT,First-tier category,Ratti project,No,,No
category_rules,category_level_2,TEXT,Second-tier category,Ratti project,No,,No
category_rules,kraljic_quadrant,TEXT,Category segmentation,Ratti project Kraljic logic,No,,No
category_rules,monitoring_frequency,TEXT,Recommended review frequency,Ratti project,No,,No
category_rules,required_documents,TEXT,Documents required by category,Derived from project logic,Partly,,No
category_rules,default_weight_operational,INTEGER,Vendor rating operational weight,Project proposal / category logic,Partly,,No
category_rules,default_weight_risk,INTEGER,Vendor rating risk weight,Project proposal / category logic,Partly,,No
category_rules,default_weight_esg,INTEGER,Vendor rating ESG weight,Project proposal / category logic,Partly,,No
documents,document_id,TEXT PK,Document metadata ID,Synthetic demo table; derived where applicable,Yes,,No
documents,supplier_id,TEXT FK,Linked supplier,Synthetic demo table; derived where applicable,Yes,,No
documents,document_type,TEXT,Type of supplier document,Synthetic demo table; derived where applicable,Yes,,No
documents,expiry_date,DATE,Document expiry date,Synthetic demo table; derived where applicable,Yes,,No
documents,document_status,TEXT,Document validity status,Synthetic demo table; derived where applicable,Yes,,No
documents,ai_extraction_confidence,REAL,Confidence from document parser,Synthetic demo table; derived where applicable,Yes,,No
documents,manual_validation_required,TEXT,Whether buyer must validate,Synthetic demo table; derived where applicable,Yes,,No
purchase_orders,po_id,TEXT PK,Purchase order ID,Synthetic demo table; derived where applicable,Yes,,No
