po_id,supplier_id,category_level_1,category_level_2,order_date,expected_delivery_date,actual_delivery_date,order_quantity,order_amount_eur,payment_terms_days,currency,po_status,data_source_note
PO00001,SUP024,Goods,Yarns,2025-06-03,2025-06-18,2025-06-18,1140,62904.21,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00002,SUP047,Fixed Assets,Fixed Assets,2025-04-20,2025-05-06,2025-05-06,40,59984,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00003,SUP025,Goods,Yarns,2025-06-29,2025-08-02,2025-08-02,1195,26786.91,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00004,SUP047,Fixed Assets,Fixed Assets,2025-11-08,2025-12-03,2025-12-03,45,5515,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00005,SUP013,Transportation,Passenger Transport,2025-07-20,2025-08-14,2025-08-14,51,33370,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00006,SUP041,Services,General Administrative Services,2025-11-01,2025-11-12,2025-11-12,1,49329,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00007,SUP037,Goods,Leathers,2025-08-04,2025-09-03,2025-09-03,1465,95604.14,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00008,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-05-27,2025-07-05,2025-07-05,28,54727,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00009,SUP010,Manufacturing,General Processing / Manufacturing,2025-05-23,2025-06-04,2025-06-04,33,28633,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00010,SUP041,Services,General Administrative Services,2025-11-29,2025-12-10,2025-12-10,28,33278,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00011,SUP008,Services,Communication and Marketing,2025-08-21,2025-10-05,2025-10-07,12,17655,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00012,SUP051,Fixed Assets,Fixed Assets,2025-05-13,2025-05-30,2025-05-30,48,37227,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00013,SUP005,Goods,"Garments, Components and Trimmings",2025-05-15,2025-06-27,2025-06-27,4114,163212.48,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00014,SUP044,Fixed Assets,Fixed Assets,2025-03-01,2025-03-22,2025-03-22,1,7772,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00015,SUP025,Goods,Yarns,2025-03-18,2025-04-05,2025-04-05,339,16203.64,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00016,SUP059,Goods,Fabrics,2025-06-13,2025-07-07,2025-07-07,4732,155293.07,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00017,SUP003,Services,General Services,2025-07-25,2025-08-05,2025-08-05,56,39002,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00018,SUP001,Goods,"Garments, Components and Trimmings",2025-07-08,2025-07-27,2025-07-27,2539,160801.78,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00019,SUP032,Goods,Leathers,2025-04-11,2025-05-22,2025-05-22,2058,29485.22,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00020,SUP054,Services,Utilities,2025-12-22,2025-12-29,2025-12-29,1,51319,90,EUR,Closed,Synthetic PO records for NL2SQL demo
