supplier_id,supplier_name_anonymized,sap_supplier_code,country,category_level_1,category_level_2,kraljic_quadrant,monitoring_frequency,qualification_status,qualification_intensity,annual_spend_eur,single_sourcing_flag,financial_risk_score,geopolitical_risk_score,traceability_risk_score,supply_risk_score,risk_level,last_review_date,next_review_date,data_source_note
SUP001,"Supplier_Garments,_IT_001",RATTI-10001,Italy,Goods,"Garments, Components and Trimmings",Leverage,Semi-annual,Qualified,Medium,206316,0,16.7,8,5,10.7,Low,2025-10-14,2026-04-14,Synthetic supplier-level data based on Ratti project category/risk logic
SUP002,Supplier_Fabrics_IT_002,RATTI-10002,Italy,Goods,Fabrics,Strategic,Quarterly,Qualified,High,355649,0,24.2,14,10.1,17.1,Low,2025-10-09,2026-01-09,Synthetic supplier-level data based on Ratti project category/risk logic
SUP003,Supplier_General_IT_003,RATTI-10003,Italy,Services,General Services,Non-Critical,Annual,Qualified,Low,99194,0,32.4,8,49.9,28.2,Low,2025-02-13,2026-02-13,Synthetic supplier-level data based on Ratti project category/risk logic
SUP004,Supplier_Yarns_TU_004,RATTI-10004,Turkey,Goods,Yarns,Strategic,Quarterly,Not Qualified,High,391122,0,39.5,35,42.5,38.7,Medium,2025-05-27,2025-08-27,Synthetic supplier-level data based on Ratti project category/risk logic
SUP005,"Supplier_Garments,_VI_005",RATTI-10005,Vietnam,Goods,"Garments, Components and Trimmings",Leverage,Semi-annual,Qualified,Medium,798797,1,17.1,29,5,28.2,Low,2025-04-28,2025-10-28,Synthetic supplier-level data based on Ratti project category/risk logic
SUP006,Supplier_Yarns_IT_006,RATTI-10006,Italy,Goods,Yarns,Strategic,Quarterly,Qualified with Reserve,High,1045056,1,35.0,17,60.0,45.0,Medium,2025-02-20,2025-05-20,Synthetic supplier-level data based on Ratti project category/risk logic
SUP007,"Supplier_Garments,_IT_007",RATTI-10007,Italy,Goods,"Garments, Components and Trimmings",Leverage,Semi-annual,Qualified,Medium,457887,0,44.3,10,14.7,24.9,Low,2025-11-11,2026-05-11,Synthetic supplier-level data based on Ratti project category/risk logic
SUP008,Supplier_Communication_FR_008,RATTI-10008,France,Services,Communication and Marketing,Non-Critical,Annual,Qualified,Low,221037,0,27.1,16,35.3,25.2,Low,2025-12-11,2026-12-11,Synthetic supplier-level data based on Ratti project category/risk logic
SUP009,Supplier_Outsourced_IT_009,RATTI-10009,Italy,Manufacturing,Outsourced Fabric and Yarn Processing,Strategic,Quarterly,Risky,High,592826,1,29.3,16,20.6,32.5,Low,2025-07-19,2025-10-19,Synthetic supplier-level data based on Ratti project category/risk logic
SUP010,Supplier_General_IT_010,RATTI-10010,Italy,Manufacturing,General Processing / Manufacturing,Strategic,Semi-annual,Qualified,High,490650,0,32.1,17,32.3,26.8,Low,2025-07-20,2026-01-20,Synthetic supplier-level data based on Ratti project category/risk logic
SUP011,Supplier_Yarns_IT_011,RATTI-10011,Italy,Goods,Yarns,Strategic,Quarterly,Risky,High,1460198,1,34.7,15,5,30.4,Low,2025-05-25,2025-08-25,Synthetic supplier-level data based on Ratti project category/risk logic
SUP012,"Supplier_Garments,_IT_012",RATTI-10012,Italy,Goods,"Garments, Components and Trimmings",Leverage,Semi-annual,Qualified with Reserve,Medium,63402,0,44.7,15,16.8,27.3,Low,2025-03-17,2025-09-17,Synthetic supplier-level data based on Ratti project category/risk logic
SUP013,Supplier_Passenger_VI_013,RATTI-10013,Vietnam,Transportation,Passenger Transport,Non-Critical,Annual,Qualified with Reserve,Low,143080,0,49.7,36,45.8,43.9,Medium,2025-09-01,2026-09-01,Synthetic supplier-level data based on Ratti project category/risk logic
SUP014,Supplier_Facilities_IT_014,RATTI-10014,Italy,Services,Facilities Management,Leverage,Semi-annual,Qualified,Medium,382451,0,28.9,8,44.4,25.5,Low,2025-02-24,2025-08-24,Synthetic supplier-level data based on Ratti project category/risk logic
SUP015,Supplier_Analysis_IT_015,RATTI-10015,Italy,Services,"Analysis and Monitoring (Water, Air, Fumes)",Bottleneck,Semi-annual,Qualified,Medium-High,578369,0,11.9,10,21.5,13.6,Low,2025-09-25,2026-03-25,Synthetic supplier-level data based on Ratti project category/risk logic
SUP016,Supplier_Fixed_IT_016,RATTI-10016,Italy,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified,Medium-Low,764314,0,14.6,8,31.9,16.6,Low,2025-04-08,2026-04-08,Synthetic supplier-level data based on Ratti project category/risk logic
SUP017,Supplier_Yarns_IT_017,RATTI-10017,Italy,Goods,Yarns,Strategic,Quarterly,Not Qualified,High,761829,1,26.9,8,20.0,28.6,Low,2025-01-28,2025-04-28,Synthetic supplier-level data based on Ratti project category/risk logic
SUP018,Supplier_Garment_IT_018,RATTI-10018,Italy,Manufacturing,Garment Manufacturing / Confection,Strategic,Semi-annual,Qualified with Reserve,High,749287,0,49.6,10,11.8,26.3,Low,2025-08-26,2026-02-26,Synthetic supplier-level data based on Ratti project category/risk logic
SUP019,Supplier_General_IT_019,RATTI-10019,Italy,Manufacturing,General Processing / Manufacturing,Strategic,Semi-annual,Risky,High,1162143,0,22.0,8,5,12.8,Low,2025-01-13,2025-07-13,Synthetic supplier-level data based on Ratti project category/risk logic
SUP020,Supplier_Fixed_FR_020,RATTI-10020,France,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified,Medium-Low,259448,0,32.9,14,32.4,26.1,Low,2025-04-28,2026-04-28,Synthetic supplier-level data based on Ratti project category/risk logic
SUP021,Supplier_Passenger_IT_021,RATTI-10021,Italy,Transportation,Passenger Transport,Non-Critical,Annual,Qualified,Low,151711,0,54.9,10,18.4,30.0,Low,2025-03-14,2026-03-14,Synthetic supplier-level data based on Ratti project category/risk logic
SUP022,Supplier_Analysis_IT_022,RATTI-10022,Italy,Services,"Analysis and Monitoring (Water, Air, Fumes)",Bottleneck,Semi-annual,Risky,Medium-High,252634,1,47.4,19,23.9,41.6,Medium,2025-08-10,2026-02-10,Synthetic supplier-level data based on Ratti project category/risk logic
SUP023,Supplier_Plant_PO_023,RATTI-10023,Portugal,Services,Plant and Machinery Maintenance,Bottleneck,Semi-annual,Risky,Medium-High,391120,1,56.3,10,33.8,44.5,Medium,2025-12-11,2026-06-11,Synthetic supplier-level data based on Ratti project category/risk logic
SUP024,Supplier_Yarns_IT_024,RATTI-10024,Italy,Goods,Yarns,Strategic,Quarterly,Not Qualified,High,1413852,1,32.8,9,23.5,32.1,Low,2025-02-20,2025-05-20,Synthetic supplier-level data based on Ratti project category/risk logic
SUP025,Supplier_Yarns_VI_025,RATTI-10025,Vietnam,Goods,Yarns,Strategic,Quarterly,Risky,High,1494695,1,24.2,34,33.3,39.9,Medium,2025-11-19,2026-02-19,Synthetic supplier-level data based on Ratti project category/risk logic
SUP026,Supplier_Freight_IT_026,RATTI-10026,Italy,Transportation,Freight Transport / Logistics,Leverage,Semi-annual,Qualified,Medium,810981,0,27.4,17,32.9,25.1,Low,2025-05-15,2025-11-15,Synthetic supplier-level data based on Ratti project category/risk logic
SUP027,Supplier_Garment_GE_027,RATTI-10027,Germany,Manufacturing,Garment Manufacturing / Confection,Strategic,Semi-annual,Blacklisted,High,1602665,0,35.4,9,49.6,29.7,Low,2025-03-12,2025-09-12,Synthetic supplier-level data based on Ratti project category/risk logic
SUP028,Supplier_General_VI_028,RATTI-10028,Vietnam,Services,General Administrative Services,Non-Critical,Annual,Qualified with Reserve,Low,124867,0,33.2,40,5.2,28.6,Low,2025-11-17,2026-11-17,Synthetic supplier-level data based on Ratti project category/risk logic
SUP029,Supplier_Fabrics_TU_029,RATTI-10029,Turkey,Goods,Fabrics,Strategic,Quarterly,Qualified with Reserve,High,517236,0,42.3,35,49.7,41.6,Medium,2025-03-09,2025-06-09,Synthetic supplier-level data based on Ratti project category/risk logic
SUP030,Supplier_Outsourced_IT_030,RATTI-10030,Italy,Manufacturing,Outsourced Leather Processing,Strategic,Quarterly,Qualified with Reserve,High,1630093,0,37.8,7,57.8,32.0,Low,2025-02-21,2025-05-21,Synthetic supplier-level data based on Ratti project category/risk logic
SUP031,Supplier_Plant_IT_031,RATTI-10031,Italy,Services,Plant and Machinery Maintenance,Bottleneck,Semi-annual,Qualified,Medium-High,217174,0,27.2,13,6.0,16.9,Low,2025-09-01,2026-03-01,Synthetic supplier-level data based on Ratti project category/risk logic
SUP032,Supplier_Leathers_PO_032,RATTI-10032,Portugal,Goods,Leathers,Strategic,Quarterly,Qualified,High,1074302,0,35.2,22,54.2,35.3,Medium,2025-01-12,2025-04-12,Synthetic supplier-level data based on Ratti project category/risk logic
SUP033,Supplier_Outsourced_IT_033,RATTI-10033,Italy,Manufacturing,Outsourced Fabric and Yarn Processing,Strategic,Quarterly,Qualified,High,1474160,0,23.0,10,19.0,17.4,Low,2025-03-26,2025-06-26,Synthetic supplier-level data based on Ratti project category/risk logic
SUP034,Supplier_General_VI_034,RATTI-10034,Vietnam,Services,General Services,Non-Critical,Annual,Qualified,Low,97080,0,12.8,39,36.8,28.0,Low,2025-04-09,2026-04-09,Synthetic supplier-level data based on Ratti project category/risk logic
