quality_event_id,po_id,supplier_id,event_date,non_conformity_type,severity,defect_quantity,inspection_quantity,defect_rate,corrective_action_required,data_source_note
QEV00001,PO00001,SUP024,2025-06-20,Material defect,Major,53,1140,0.0465,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00002,PO00002,SUP047,2025-05-11,Missing certificate,Critical,2,40,0.05,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00003,PO00007,SUP037,2025-09-06,Reworkable non-conformity,Major,36,1465,0.0246,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00004,PO00011,SUP008,2025-10-11,Missing certificate,Critical,1,12,0.0833,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00005,PO00012,SUP051,2025-06-03,Color deviation,Major,2,48,0.0417,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00006,PO00013,SUP005,2025-07-01,Reworkable non-conformity,Major,83,4114,0.0202,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00007,PO00029,SUP041,2025-12-09,Not reworkable non-conformity,Critical,1,17,0.0588,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00008,PO00034,SUP023,2025-10-14,Not reworkable non-conformity,Critical,1,23,0.0435,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00009,PO00035,SUP058,2025-06-07,Color deviation,Major,182,3914,0.0465,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00010,PO00038,SUP037,2025-11-02,Reworkable non-conformity,Minor,24,1592,0.0151,No,Synthetic quality records for KPI and vendor rating demo
QEV00011,PO00050,SUP058,2025-09-16,Not reworkable non-conformity,Critical,31,1401,0.0221,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00012,PO00051,SUP045,2025-11-30,Material defect,Critical,1,19,0.0526,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00013,PO00054,SUP029,2025-02-15,Reworkable non-conformity,Major,110,2207,0.0498,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00014,PO00059,SUP017,2025-06-29,Missing certificate,Critical,46,2312,0.0199,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00015,PO00077,SUP033,2025-06-21,Missing certificate,Critical,1,57,0.0175,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00016,PO00087,SUP049,2025-04-28,Missing certificate,Critical,170,3354,0.0507,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00017,PO00091,SUP043,2025-10-20,Reworkable non-conformity,Major,2,45,0.0444,Yes,Synthetic quality records for KPI and vendor rating demo
QEV00018,PO00092,SUP008,2025-04-14,Not reworkable non-conformity,Critical,1,34,0.0294,Yes,Synthetic quality records for KPI and vendor rating demo
