delivery_id,po_id,supplier_id,expected_delivery_date,actual_delivery_date,delivery_delay_days,on_time_flag,delivered_quantity,delivery_issue_type,data_source_note
DEL00001,PO00001,SUP024,2025-06-18,2025-06-18,0,1,1067,None,Synthetic delivery records for KPI demo
DEL00002,PO00002,SUP047,2025-05-06,2025-05-06,0,1,40,None,Synthetic delivery records for KPI demo
DEL00003,PO00003,SUP025,2025-08-02,2025-08-02,0,1,1195,None,Synthetic delivery records for KPI demo
DEL00004,PO00004,SUP047,2025-12-03,2025-12-03,0,1,45,None,Synthetic delivery records for KPI demo
DEL00005,PO00005,SUP013,2025-08-14,2025-08-14,0,1,51,None,Synthetic delivery records for KPI demo
DEL00006,PO00006,SUP041,2025-11-12,2025-11-12,0,1,1,None,Synthetic delivery records for KPI demo
DEL00007,PO00007,SUP037,2025-09-03,2025-09-03,0,1,1447,None,Synthetic delivery records for KPI demo
DEL00008,PO00008,SUP033,2025-07-05,2025-07-05,0,1,28,None,Synthetic delivery records for KPI demo
DEL00009,PO00009,SUP010,2025-06-04,2025-06-04,0,1,33,None,Synthetic delivery records for KPI demo
DEL00010,PO00010,SUP041,2025-12-10,2025-12-10,0,1,28,None,Synthetic delivery records for KPI demo
DEL00011,PO00011,SUP008,2025-10-05,2025-10-07,2,0,12,Late delivery,Synthetic delivery records for KPI demo
DEL00012,PO00012,SUP051,2025-05-30,2025-05-30,0,1,48,None,Synthetic delivery records for KPI demo
DEL00013,PO00013,SUP005,2025-06-27,2025-06-27,0,1,3823,None,Synthetic delivery records for KPI demo
DEL00014,PO00014,SUP044,2025-03-22,2025-03-22,0,1,1,None,Synthetic delivery records for KPI demo
DEL00015,PO00015,SUP025,2025-04-05,2025-04-05,0,1,339,None,Synthetic delivery records for KPI demo
DEL00016,PO00016,SUP059,2025-07-07,2025-07-07,0,1,4732,None,Synthetic delivery records for KPI demo
DEL00017,PO00017,SUP003,2025-08-05,2025-08-05,0,1,56,None,Synthetic delivery records for KPI demo
DEL00018,PO00018,SUP001,2025-07-27,2025-07-27,0,1,2539,None,Synthetic delivery records for KPI demo
DEL00019,PO00019,SUP032,2025-05-22,2025-05-22,0,1,1919,None,Synthetic delivery records for KPI demo
DEL00020,PO00020,SUP054,2025-12-29,2025-12-29,0,1,1,None,Synthetic delivery records for KPI demo
DEL00021,PO00021,SUP004,2025-04-07,2025-04-08,1,0,1946,Transport issue,Synthetic delivery records for KPI demo
DEL00022,PO00022,SUP048,2025-03-29,2025-04-09,11,0,663,Partial delivery,Synthetic delivery records for KPI demo
DEL00023,PO00023,SUP017,2025-07-13,2025-07-13,0,1,2722,None,Synthetic delivery records for KPI demo
DEL00024,PO00024,SUP009,2025-11-09,2025-11-20,11,0,11,Late delivery,Synthetic delivery records for KPI demo
DEL00025,PO00025,SUP050,2025-05-22,2025-05-22,0,1,17,None,Synthetic delivery records for KPI demo
DEL00026,PO00026,SUP053,2026-02-10,2026-02-17,7,0,6,Late delivery,Synthetic delivery records for KPI demo
DEL00027,PO00027,SUP017,2025-04-08,2025-04-08,0,1,3701,None,Synthetic delivery records for KPI demo
DEL00028,PO00028,SUP009,2025-03-11,2025-03-13,2,0,50,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00029,PO00029,SUP041,2025-12-09,2025-12-09,0,1,17,None,Synthetic delivery records for KPI demo
DEL00030,PO00030,SUP058,2025-07-03,2025-07-05,2,0,4751,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00031,PO00031,SUP012,2025-07-21,2025-07-21,0,1,2143,None,Synthetic delivery records for KPI demo
DEL00032,PO00032,SUP042,2025-07-09,2025-07-09,0,1,36,None,Synthetic delivery records for KPI demo
DEL00033,PO00033,SUP027,2025-05-23,2025-05-23,0,1,52,None,Synthetic delivery records for KPI demo
DEL00034,PO00034,SUP023,2025-10-14,2025-10-14,0,1,23,None,Synthetic delivery records for KPI demo
DEL00035,PO00035,SUP058,2025-06-03,2025-06-03,0,1,3914,None,Synthetic delivery records for KPI demo
DEL00036,PO00036,SUP053,2025-02-19,2025-02-19,0,1,52,None,Synthetic delivery records for KPI demo
DEL00037,PO00037,SUP012,2025-04-23,2025-04-23,0,1,2989,None,Synthetic delivery records for KPI demo
DEL00038,PO00038,SUP037,2025-11-01,2025-11-01,0,1,1592,None,Synthetic delivery records for KPI demo
DEL00039,PO00039,SUP039,2025-05-01,2025-05-01,0,1,1,None,Synthetic delivery records for KPI demo
