supplier_id,period,on_time_delivery_rate_pct,average_delay_days,quality_defect_rate_pct,operational_score,supply_risk_score,risk_inverse_score,esg_score,weight_operational_pct,weight_risk_pct,weight_esg_pct,final_vendor_rating_score,rating_class,suggested_action,data_source_note
SUP001,2025,88.9,0.2,0.0,93.6,10.7,89.3,76.5,45,35,20,88.7,A,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP002,2025,80.0,1.5,3.14,78.8,17.1,82.9,84.4,45,35,20,81.4,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP003,2025,50.0,4.2,3.77,56.4,28.2,71.8,75.7,50,30,20,64.9,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP004,2025,71.4,1.0,0.0,82.7,38.7,61.3,80.3,45,35,20,74.7,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP005,2025,58.3,2.7,3.64,63.6,28.2,71.8,78.4,45,35,20,69.4,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP006,2025,57.1,1.9,3.1,65.6,45.0,55.0,71.6,45,35,20,63.1,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP007,2025,87.5,0.5,0.0,92.3,24.9,75.1,85.5,45,35,20,84.9,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP008,2025,76.9,1.0,4.35,74.8,25.2,74.8,66.8,50,30,20,73.2,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP009,2025,62.5,1.8,6.25,60.9,32.5,67.5,86.6,45,35,20,68.3,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP010,2025,57.1,2.3,2.38,66.8,26.8,73.2,81.0,45,30,25,72.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP011,2025,90.0,0.1,3.9,84.6,30.4,69.6,81.3,45,35,20,78.7,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP012,2025,63.6,1.9,0.0,76.9,27.3,72.7,86.4,45,35,20,77.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP013,2025,100.0,0.0,0.0,100,43.9,56.1,75.0,50,30,20,81.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP014,2025,80.0,1.4,5.56,72.9,25.5,74.5,74.4,45,35,20,73.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP015,2025,66.7,1.4,2.44,73.3,13.6,86.4,77.3,40,40,20,79.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP016,2025,100.0,0.0,11.11,75.0,16.6,83.4,74.3,45,35,20,77.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP017,2025,61.5,2.6,3.15,66.8,28.6,71.4,75.3,45,35,20,70.1,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP018,2025,66.7,3.0,1.69,72.7,26.3,73.7,73.9,45,30,25,73.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP019,2025,75.0,2.1,5.41,69.4,12.8,87.2,75.8,45,30,25,76.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP020,2025,80.0,0.9,20.0,62.6,26.1,73.9,79.0,45,35,20,69.8,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP021,2025,83.3,0.2,0.0,90.5,30.0,70.0,72.7,50,30,20,80.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP022,2025,33.3,4.7,3.76,46.4,41.6,58.4,70.5,40,40,20,56.0,D,Ad-hoc review; validate recovery plan; consider alternative supplier,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP023,2025,57.1,2.4,3.81,63.0,44.5,55.5,54.7,40,40,20,58.3,D,Ad-hoc review; validate recovery plan; consider alternative supplier,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP024,2025,91.7,0.3,3.82,85.4,32.1,67.9,74.7,45,35,20,77.1,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP025,2025,80.0,1.0,3.32,79.1,39.9,60.1,75.2,45,35,20,71.7,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP026,2025,71.4,1.3,0.0,82.2,25.1,74.9,93.7,45,35,20,81.9,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP027,2025,70.0,2.0,1.67,76.1,29.7,70.3,70.9,45,30,25,73.1,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP028,2025,37.5,4.4,5.68,44.4,28.6,71.4,71.1,50,30,20,57.8,D,Ad-hoc review; validate recovery plan; consider alternative supplier,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP029,2025,100.0,0.0,4.98,87.6,41.6,58.4,69.1,45,35,20,73.7,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP030,2025,50.0,3.7,5.0,54.1,32.0,68.0,87.1,45,35,20,65.6,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP031,2025,90.9,0.1,3.49,86.1,16.9,83.1,84.2,40,40,20,84.5,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP032,2025,44.4,2.2,5.03,53.3,35.3,64.7,73.0,45,35,20,61.2,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP033,2025,81.8,0.8,2.75,81.8,17.4,82.6,87.6,45,35,20,83.2,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
