document_id,supplier_id,document_type,upload_date,issue_date,expiry_date,document_status,extracted_fields,ai_extraction_confidence,manual_validation_required,data_source_note
DOC0001,SUP001,Supplier Code,2024-07-15,2024-05-20,2027-05-20,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.79,Yes,Synthetic document metadata for Document Intelligence demo
DOC0002,SUP001,Code of Ethics,2024-05-04,2024-04-03,2025-04-03,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.86,Yes,Synthetic document metadata for Document Intelligence demo
DOC0003,SUP001,Quality certificate,2024-05-24,2024-04-23,2026-04-23,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.84,Yes,Synthetic document metadata for Document Intelligence demo
DOC0004,SUP001,Traceability evidence,2024-05-27,2024-05-08,2026-05-08,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.89,No,Synthetic document metadata for Document Intelligence demo
DOC0005,SUP001,ESG certificates,2024-10-14,2024-09-17,2026-09-17,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.98,No,Synthetic document metadata for Document Intelligence demo
DOC0006,SUP002,Supplier Code,2025-01-31,2024-12-16,2026-12-16,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.87,No,Synthetic document metadata for Document Intelligence demo
DOC0007,SUP002,Code of Ethics,2024-10-28,2024-10-10,2025-10-10,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.78,No,Synthetic document metadata for Document Intelligence demo
DOC0008,SUP002,SA8000 questionnaire,2024-01-31,2024-01-23,2027-01-23,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.79,No,Synthetic document metadata for Document Intelligence demo
DOC0009,SUP002,Terms and Conditions,2024-11-09,2024-09-10,2027-09-10,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.75,No,Synthetic document metadata for Document Intelligence demo
DOC0010,SUP002,Quality certificate,2024-09-03,2024-08-04,2025-08-04,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.84,No,Synthetic document metadata for Document Intelligence demo
DOC0011,SUP002,Traceability evidence,2024-01-13,2024-01-09,2026-01-09,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.82,Yes,Synthetic document metadata for Document Intelligence demo
DOC0012,SUP002,ESG certificates,2024-04-02,2024-02-19,2027-02-19,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.73,No,Synthetic document metadata for Document Intelligence demo
DOC0013,SUP003,Supplier Code,2024-11-10,2024-09-13,2026-09-13,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.84,No,Synthetic document metadata for Document Intelligence demo
